user_id,total_logins,total_sessions,total_page_views,total_purchases,total_events,active_days,inactive_days,average_events_per_active_day,days_since_last_activity,churn
USR_0056,196,312,837,120,1661,76,14,21.86,0.45,0
USR_0057,181,327,774,130,1593,71,19,22.44,0.62,0
USR_0058,197,291,809,134,1628,78,12,20.87,0.31,0
USR_0059,200,311,872,120,1703,76,14,22.41,0.12,0
USR_0060,187,313,759,127,1573,71,19,22.15,0.05,0
USR_0061,185,304,801,143,1618,76,14,21.29,0.01,0
USR_0062,182,280,775,141,1560,78,12,20.0,0.02,0
USR_0063,197,331,813,125,1663,77,13,21.6,0.14,0
USR_0064,190,318,833,113,1644,82,8,20.05,0.14,0
USR_0065,194,313,812,136,1649,72,18,22.9,0.27,0
USR_0066,182,281,792,120,1557,73,17,21.33,0.29,0
USR_0067,204,372,830,128,1738,78,12,22.28,0.05,0
USR_0068,183,282,715,116,1479,77,13,19.21,0.44,0
USR_0069,193,318,831,116,1651,77,13,21.44,2.54,0
USR_0070,185,275,804,93,1542,75,15,20.56,0.09,0
USR_0071,187,289,807,119,1589,77,13,20.64,0.54,0
USR_0072,178,290,753,135,1534,76,14,20.18,0.48,0
USR_0073,215,344,915,134,1823,82,8,22.23,0.15,0
USR_0074,187,283,854,123,1634,73,17,22.38,0.4,0
USR_0075,180,310,796,118,1584,73,17,21.7,0.05,0
USR_0076,198,340,839,170,1745,80,10,21.81,0.2,0
USR_0077,192,303,786,119,1592,76,14,20.95,1.0,0
USR_0078,195,326,829,125,1670,78,12,21.41,0.4,0
USR_0079,181,283,749,128,1522,76,14,20.03,0.13,0
USR_0080,203,331,893,132,1762,80,10,22.02,0.18,0
USR_0081,214,325,949,133,1835,80,10,22.94,0.39,0
USR_0082,176,286,711,104,1453,73,17,19.9,0.15,0
USR_0083,186,318,776,106,1572,77,13,20.42,0.29,0
USR_0084,206,345,857,153,1767,80,10,22.09,0.36,0
USR_0085,189,286,823,116,1603,79,11,20.29,0.09,0
USR_0086,200,296,848,133,1677,79,11,21.23,0.15,0
USR_0087,181,306,743,117,1528,74,16,20.65,0.22,0
USR_0088,213,352,894,142,1814,80,10,22.68,0.02,0
USR_0089,193,313,814,109,1622,76,14,21.34,0.07,0
USR_0090,191,300,797,124,1603,76,14,21.09,0.06,0
USR_0091,216,329,924,147,1832,81,9,22.62,0.21,0
USR_0092,175,272,781,114,1517,72,18,21.07,0.07,0
USR_0093,199,317,847,124,1686,80,10,21.08,1.11,0
USR_0094,207,343,892,130,1779,81,9,21.96,0.2,0
USR_0095,180,286,753,114,1513,75,15,20.17,0.37,0
USR_0096,199,306,861,135,1700,81,9,20.99,0.08,0
USR_0097,218,359,946,145,1886,79,11,23.87,1.15,0
USR_0098,184,307,805,127,1607,76,14,21.14,0.23,0
USR_0099,199,305,837,127,1667,74,16,22.53,0.02,0
USR_0100,193,306,822,129,1643,80,10,20.54,0.01,0
USR_0101,197,300,828,148,1670,77,13,21.69,0.01,0
USR_0102,192,285,781,136,1586,79,11,20.08,0.2,0
USR_0103,182,328,774,113,1579,76,14,20.78,0.03,0
USR_0104,215,360,931,155,1876,76,14,24.68,0.41,0
USR_0105,188,294,779,118,1567,76,14,20.62,0.14,0
USR_0106,198,324,862,133,1715,77,13,22.27,0.34,0
USR_0107,175,276,684,118,1428,74,16,19.3,0.21,0
USR_0108,239,390,980,145,1993,82,8,24.3,0.12,0
USR_0109,206,342,866,127,1747,81,9,21.57,0.01,0
USR_0110,176,280,727,99,1458,70,20,20.83,0.05,0
USR_0111,203,343,855,139,1743,77,13,22.64,0.01,0
USR_0112,202,318,854,135,1711,80,10,21.39,0.0,0
USR_0113,186,297,770,125,1564,67,23,23.34,0.09,0
USR_0114,184,299,714,100,1481,71,19,20.86,1.47,0
USR_0115,172,267,749,108,1468,72,18,20.39,0.21,0
USR_0116,188,289,797,124,1586,77,13,20.6,0.15,0
USR_0117,207,340,925,156,1835,81,9,22.65,0.12,0
USR_0118,196,307,831,135,1665,76,14,21.91,0.19,0
USR_0119,185,262,783,120,1535,73,17,21.03,0.16,0
USR_0120,181,295,807,100,1564,75,15,20.85,0.14,0
USR_0121,192,295,801,139,1619,72,18,22.49,0.53,0
USR_0122,192,329,810,124,1647,76,14,21.67,0.11,0
USR_0123,204,319,890,131,1748,82,8,21.32,0.09,0
USR_0124,191,331,816,112,1641,76,14,21.59,0.21,0
USR_0125,193,294,815,114,1609,75,15,21.45,1.2,0
USR_0126,62,64,166,19,373,40,50,9.32,0.64,0
USR_0127,59,60,153,21,352,40,50,8.8,1.48,0
USR_0128,65,62,183,28,403,46,44,8.76,2.46,0
USR_0129,63,63,167,32,388,44,46,8.82,2.5,0
USR_0130,67,60,159,25,378,46,44,8.22,0.39,0
USR_0131,72,66,187,32,429,47,43,9.13,2.57,0
USR_0132,59,64,158,23,363,44,46,8.25,0.19,0
USR_0133,60,59,161,15,355,37,53,9.59,1.56,0
USR_0134,67,63,182,27,406,47,43,8.64,4.07,0
USR_0135,60,59,144,21,344,45,45,7.64,2.1,0
USR_0136,74,77,198,36,459,45,45,10.2,2.09,0
USR_0137,64,69,160,36,393,44,46,8.93,0.11,0
USR_0138,58,53,135,21,325,41,49,7.93,4.42,0
USR_0139,73,75,184,24,429,50,40,8.58,3.01,0
USR_0140,71,73,184,23,422,44,46,9.59,1.33,0
USR_0141,75,70,195,23,438,50,40,8.76,0.04,0
USR_0142,45,44,111,21,266,32,58,8.31,4.11,0
USR_0143,54,55,144,28,335,38,52,8.82,2.18,0
USR_0144,66,64,184,35,415,46,44,9.02,3.28,0
USR_0145,70,76,165,28,409,47,43,8.7,0.46,0
USR_0146,61,57,158,23,360,40,50,9.0,0.25,0
USR_0147,71,74,172,39,427,44,46,9.7,2.65,0
USR_0148,67,80,160,20,394,42,48,9.38,2.33,0
USR_0149,70,63,167,29,399,48,42,8.31,0.37,0
USR_0150,66,67,175,30,404,44,46,9.18,0.18,0
USR_0151,70,72,185,22,419,49,41,8.55,1.18,0
USR_0152,81,77,202,40,481,51,39,9.43,0.34,0
USR_0153,73,67,178,27,418,48,42,8.71,0.21,0
USR_0154,73,73,188,26,433,46,44,9.41,3.04,0
USR_0155,60,63,153,17,353,37,53,9.54,1.41,0
USR_0156,66,72,155,23,382,46,44,8.3,0.1,0
USR_0157,81,68,216,34,480,49,41,9.8,0.52,0
USR_0158,74,68,184,29,429,54,36,7.94,1.33,0
USR_0159,70,72,170,37,419,47,43,8.91,3.12,0
USR_0160,60,71,161,20,372,43,47,8.65,1.21,0
USR_0161,74,71,174,36,429,48,42,8.94,0.54,0
USR_0162,70,79,173,21,413,46,44,8.98,7.32,0
USR_0163,69,80,189,20,427,44,46,9.7,0.6,0
USR_0164,59,52,166,23,359,40,50,8.98,2.08,0
USR_0165,85,76,206,43,495,54,36,9.17,0.08,0
USR_0166,63,72,165,28,391,40,50,9.78,6.17,0
USR_0167,60,55,159,28,362,43,47,8.42,0.27,0
USR_0168,63,62,161,30,379,43,47,8.81,1.09,0
USR_0169,65,68,167,26,391,44,46,8.89,0.08,0
USR_0170,69,61,201,29,429,45,45,9.53,0.63,0
USR_0171,77,94,200,36,484,52,38,9.31,0.21,0
USR_0172,62,58,163,20,365,45,45,8.11,0.41,0
USR_0173,60,56,150,31,357,40,50,8.93,0.51,0
USR_0174,74,73,196,28,445,50,40,8.9,0.25,0
USR_0175,66,68,179,25,404,43,47,9.4,0.21,0
USR_0176,82,67,227,27,485,50,40,9.7,2.35,0
USR_0177,87,78,235,45,532,54,36,9.85,0.37,0
USR_0178,71,55,167,36,400,48,42,8.33,3.54,0
USR_0179,71,72,171,34,419,46,44,9.11,1.54,0
USR_0180,60,70,148,22,360,40,50,9.0,0.34,0
USR_0181,65,81,160,35,406,44,46,9.23,3.44,0
USR_0182,75,83,179,30,442,49,41,9.02,2.43,0
USR_0183,70,69,204,19,432,48,42,9.0,1.05,0
USR_0184,58,61,159,29,365,39,51,9.36,3.37,0
USR_0185,62,53,152,25,354,43,47,8.23,0.24,0
USR_0186,71,68,188,18,416,47,43,8.85,0.14,0
USR_0187,60,64,134,27,345,40,50,8.62,1.41,0
USR_0188,71,65,178,34,419,47,43,8.91,0.35,0
USR_0189,65,75,164,19,388,42,48,9.24,1.41,0
USR_0190,66,61,183,21,397,44,46,9.02,1.1,0
USR_0191,63,60,169,18,373,42,48,8.88,6.01,0
USR_0192,81,74,205,29,470,56,34,8.39,0.13,0
USR_0193,72,74,196,26,440,47,43,9.36,0.15,0
USR_0194,79,70,210,29,467,50,40,9.34,1.34,0
USR_0195,78,90,208,34,488,50,40,9.76,1.65,0
USR_0196,49,49,121,19,287,34,56,8.44,0.48,0
USR_0197,72,63,189,27,423,44,46,9.61,0.4,0
USR_0198,69,85,169,24,416,49,41,8.49,2.06,0
USR_0199,54,38,141,27,314,41,49,7.66,3.02,0
USR_0200,65,67,160,20,377,41,49,9.2,0.1,0
USR_0201,77,73,201,40,468,49,41,9.55,4.39,0
USR_0202,72,86,176,25,431,46,44,9.37,2.03,0
USR_0203,60,57,178,17,372,39,51,9.54,0.14,0
USR_0204,66,63,174,29,398,45,45,8.84,2.49,0
USR_0205,71,75,186,28,431,49,41,8.8,0.42,0
USR_0206,69,58,203,24,423,43,47,9.84,2.3,0
USR_0207,59,71,149,28,366,39,51,9.38,0.06,0
USR_0208,62,66,158,24,372,42,48,8.86,4.0,0
USR_0209,71,71,187,28,428,51,39,8.39,0.02,0
USR_0210,64,66,179,29,402,41,49,9.8,0.1,0
USR_0211,65,61,178,30,399,42,48,9.5,0.39,0
USR_0212,65,60,163,18,371,43,47,8.63,0.35,0
USR_0213,85,84,244,35,533,53,37,10.06,2.12,0
USR_0214,78,74,192,28,450,50,40,9.0,1.01,0
USR_0215,72,75,185,30,434,48,42,9.04,2.29,0
USR_0216,65,54,180,27,391,43,47,9.09,2.32,0
USR_0217,70,55,200,27,422,46,44,9.17,0.33,0
USR_0218,77,90,207,25,476,52,38,9.15,2.52,0
USR_0219,58,54,157,19,346,41,49,8.44,0.2,0
USR_0220,68,75,162,23,396,48,42,8.25,0.56,0
USR_0221,57,42,138,27,321,40,50,8.02,0.09,0
USR_0222,60,56,158,31,365,39,51,9.36,1.26,0
USR_0223,77,62,200,37,453,47,43,9.64,1.21,0
USR_0224,46,44,118,18,272,33,57,8.24,0.11,0
USR_0225,66,73,153,27,385,38,52,10.13,0.15,0
USR_0226,65,58,174,21,383,43,47,8.91,0.39,0
USR_0227,65,55,185,28,398,44,46,9.05,3.44,0
USR_0228,55,55,152,15,332,37,53,8.97,7.11,0
USR_0229,72,79,183,26,432,46,44,9.39,0.03,0
USR_0230,43,51,112,16,265,31,59,8.55,0.01,0
USR_0231,65,64,168,25,387,46,44,8.41,2.01,0
USR_0232,76,70,183,27,432,52,38,8.31,1.52,0
USR_0233,59,64,155,28,365,43,47,8.49,0.28,0
USR_0234,69,66,179,35,418,46,44,9.09,0.41,0
USR_0235,56,55,143,28,338,40,50,8.45,4.59,0
USR_0236,59,52,158,20,348,41,49,8.49,1.35,0
USR_0237,69,70,172,37,417,46,44,9.07,0.66,0
USR_0238,75,82,184,41,457,46,44,9.93,0.29,0
USR_0239,66,55,173,30,390,45,45,8.67,0.57,0
USR_0240,81,79,220,33,494,49,41,10.08,1.26,0
USR_0241,55,49,134,17,310,40,50,7.75,5.06,0
USR_0242,54,49,154,19,330,38,52,8.68,6.0,0
USR_0243,73,65,215,28,454,45,45,10.09,0.11,0
USR_0244,85,91,212,39,512,55,35,9.31,0.28,0
USR_0245,71,77,179,40,438,47,43,9.32,5.01,0
USR_0246,64,65,165,26,384,40,50,9.6,1.43,0
USR_0247,66,56,162,25,375,48,42,7.81,0.31,0
USR_0248,87,74,243,31,522,53,37,9.85,3.1,0
USR_0249,67,54,177,26,391,42,48,9.31,1.43,0
USR_0250,64,58,183,25,394,41,49,9.61,4.29,0
USR_0251,74,68,175,36,427,45,45,9.49,0.21,0
USR_0252,53,44,136,24,310,35,55,8.86,1.11,0
USR_0253,71,71,188,33,434,47,43,9.23,0.18,0
USR_0254,59,47,150,28,343,38,52,9.03,1.24,0
USR_0255,60,62,142,32,356,42,48,8.48,1.53,0
USR_0256,58,56,142,26,340,40,50,8.5,0.11,0
USR_0257,58,57,150,32,355,37,53,9.59,0.49,0
USR_0258,70,65,174,31,410,51,39,8.04,2.63,0
USR_0259,65,66,154,32,382,44,46,8.68,1.4,0
USR_0260,70,69,176,29,414,51,39,8.12,0.36,0
USR_0261,62,55,136,25,340,40,50,8.5,1.35,0
USR_0262,63,65,159,26,376,43,47,8.74,3.65,0
USR_0263,73,76,174,27,423,48,42,8.81,1.5,0
USR_0264,72,60,193,36,433,47,43,9.21,3.42,0
USR_0265,77,82,211,31,478,48,42,9.96,0.38,0
USR_0266,92,91,231,31,537,58,32,9.26,1.06,0
USR_0267,63,67,160,23,376,41,49,9.17,4.49,0
USR_0268,70,66,188,29,423,50,40,8.46,0.16,0
USR_0269,61,62,142,28,354,41,49,8.63,2.11,0
USR_0270,60,63,160,24,367,43,47,8.53,5.23,0
USR_0271,69,82,184,22,426,42,48,10.14,0.61,0
USR_0272,65,68,159,17,374,45,45,8.31,0.06,0
USR_0273,65,51,156,37,374,44,46,8.5,0.13,0
USR_0274,72,71,194,30,439,47,43,9.34,1.04,0
USR_0275,72,71,159,32,406,47,43,8.64,0.58,0
USR_0276,51,60,144,19,325,35,55,9.29,0.28,0
USR_0277,68,64,158,23,381,46,44,8.28,0.03,0
USR_0278,80,76,187,29,452,50,40,9.04,1.19,0
USR_0279,64,54,163,28,373,40,50,9.32,0.36,0
USR_0280,76,87,183,30,452,51,39,8.86,1.34,0
USR_0281,78,70,201,28,455,50,40,9.1,3.32,0
USR_0282,65,63,175,26,394,44,46,8.95,0.25,0
USR_0283,71,72,183,24,421,49,41,8.59,2.49,0
USR_0284,62,74,167,17,382,43,47,8.88,2.29,0
USR_0285,83,81,203,48,498,52,38,9.58,0.56,0
USR_0286,62,64,163,26,377,43,47,8.77,2.02,0
USR_0287,58,66,154,24,360,37,53,9.73,1.49,0
USR_0288,74,69,206,35,458,48,42,9.54,0.45,0
USR_0289,70,70,193,30,433,44,46,9.84,4.19,0
USR_0290,72,77,172,24,417,50,40,8.34,2.32,0
USR_0291,63,63,145,25,359,40,50,8.98,0.02,0
USR_0292,72,65,194,35,438,50,40,8.76,1.04,0
USR_0293,68,75,179,28,418,44,46,9.5,0.03,0
USR_0294,84,78,242,29,517,57,33,9.07,0.16,0
USR_0295,66,50,157,22,361,50,40,7.22,0.34,0
USR_0296,66,60,159,38,389,42,48,9.26,0.34,0
USR_0297,61,61,155,24,362,41,49,8.83,0.56,0
USR_0298,72,86,174,37,441,46,44,9.59,3.54,0
USR_0299,66,59,183,18,392,45,45,8.71,0.25,0
USR_0300,52,62,121,18,305,37,53,8.24,0.1,0
USR_0301,45,29,74,18,211,45,45,4.69,1.65,0
USR_0302,41,12,76,14,184,41,49,4.49,2.62,0
USR_0303,36,23,42,14,151,36,54,4.19,4.39,0
USR_0304,37,31,54,6,165,37,53,4.46,28.5,0
USR_0305,41,29,66,13,190,41,49,4.63,1.06,0
USR_0306,33,18,49,5,138,33,57,4.18,1.4,0
USR_0307,33,23,51,14,154,33,57,4.67,2.02,0
USR_0308,34,15,65,5,153,34,56,4.5,2.42,0
USR_0309,39,24,60,10,172,39,51,4.41,5.5,0
USR_0310,38,28,63,18,185,38,52,4.87,2.3,0
USR_0311,35,16,61,9,156,35,55,4.46,0.52,0
USR_0312,40,30,50,11,171,40,50,4.28,2.46,0
USR_0313,39,26,77,9,190,39,51,4.87,5.06,0
USR_0314,36,19,59,3,153,36,54,4.25,4.54,0
USR_0315,39,29,68,5,180,39,51,4.62,8.04,0
USR_0316,42,24,60,6,174,42,48,4.14,1.28,0
USR_0317,37,22,67,13,176,37,53,4.76,5.23,0
USR_0318,36,17,71,9,169,36,54,4.69,4.6,0
USR_0319,39,31,55,12,176,39,51,4.51,4.45,0
USR_0320,42,31,67,14,196,42,48,4.67,1.03,0
USR_0321,39,23,55,10,166,39,51,4.26,6.38,0
USR_0322,33,19,59,6,150,33,57,4.55,12.43,0
USR_0323,39,21,57,15,171,39,51,4.38,8.27,0
USR_0324,42,34,61,10,189,42,48,4.5,10.31,0
USR_0325,36,22,51,8,153,36,54,4.25,0.11,0
USR_0326,37,18,69,9,170,37,53,4.59,5.25,0
USR_0327,42,30,77,9,200,42,48,4.76,6.64,0
USR_0328,40,33,66,11,190,40,50,4.75,8.26,0
USR_0329,39,23,60,15,176,39,51,4.51,2.41,0
USR_0330,39,21,66,12,177,39,51,4.54,13.58,0
USR_0331,31,24,48,7,141,31,59,4.55,5.39,0
USR_0332,39,32,61,9,180,39,51,4.62,18.34,0
USR_0333,38,22,59,11,168,38,52,4.42,7.66,0
USR_0334,38,29,61,11,177,38,52,4.66,4.58,0
USR_0335,44,25,74,13,200,44,46,4.55,7.11,0
USR_0336,36,21,65,9,167,36,54,4.64,6.36,0
USR_0337,38,19,73,10,178,38,52,4.68,9.08,0
USR_0338,43,23,72,8,189,43,47,4.4,12.35,0
USR_0339,29,13,57,2,130,29,61,4.48,6.64,0
USR_0340,33,23,50,10,149,33,57,4.52,3.35,0
USR_0341,30,23,47,5,135,30,60,4.5,12.31,0
USR_0342,33,25,52,12,155,33,57,4.7,7.64,0
USR_0343,39,25,62,14,179,39,51,4.59,0.26,0
USR_0344,32,22,49,4,139,32,58,4.34,4.06,0
USR_0345,37,26,55,12,167,37,53,4.51,4.46,0
USR_0346,44,32,78,12,210,44,46,4.77,0.49,0
USR_0347,40,27,63,10,180,40,50,4.5,0.34,0
USR_0348,42,16,79,8,187,42,48,4.45,9.54,0
USR_0349,40,27,71,12,190,40,50,4.75,12.65,0
USR_0350,34,25,47,6,146,34,56,4.29,7.45,0
USR_0351,48,32,78,8,214,48,42,4.46,2.36,0
USR_0352,42,26,74,5,189,42,48,4.5,0.58,0
USR_0353,37,21,53,8,156,37,53,4.22,20.6,0
USR_0354,34,13,69,7,157,34,56,4.62,3.11,0
USR_0355,36,21,61,8,162,36,54,4.5,8.34,0
USR_0356,42,35,73,7,199,42,48,4.74,4.21,0
USR_0357,38,20,55,10,161,38,52,4.24,12.65,0
USR_0358,32,15,51,4,134,32,58,4.19,1.32,0
USR_0359,37,16,71,7,168,37,53,4.54,9.54,0
USR_0360,39,29,60,11,178,39,51,4.56,11.54,0
USR_0361,41,20,78,12,192,41,49,4.68,8.26,0
USR_0362,33,22,48,6,142,33,57,4.3,6.07,0
USR_0363,41,23,68,13,186,41,49,4.54,2.49,0
USR_0364,41,23,69,13,187,41,49,4.56,12.57,0
USR_0365,35,21,50,11,152,35,55,4.34,1.63,0
USR_0366,39,21,56,12,167,39,51,4.28,8.11,0
USR_0367,41,30,64,15,191,41,49,4.66,10.02,0
USR_0368,36,22,64,9,167,36,54,4.64,5.56,0
USR_0369,41,29,63,8,182,41,49,4.44,2.67,0
USR_0370,33,12,60,9,147,33,57,4.45,4.12,0
USR_0371,42,24,75,6,189,42,48,4.5,3.06,0
USR_0372,36,27,55,7,161,36,54,4.47,5.43,0
USR_0373,44,24,84,11,207,44,46,4.7,3.63,0
USR_0374,36,16,53,8,149,36,54,4.14,0.46,0
USR_0375,37,21,51,10,156,37,53,4.22,19.33,0
USR_0376,38,21,57,11,165,38,52,4.34,13.66,0
USR_0377,37,24,57,12,167,37,53,4.51,4.5,0
USR_0378,37,24,49,7,154,37,53,4.16,6.28,0
USR_0379,42,24,77,10,195,42,48,4.64,1.55,0
USR_0380,45,30,78,9,207,45,45,4.6,8.35,0
USR_0381,37,23,57,8,162,37,53,4.38,10.48,0
USR_0382,32,18,70,9,161,32,58,5.03,1.28,0
USR_0383,36,21,55,10,158,36,54,4.39,22.57,0
USR_0384,46,31,68,11,202,46,44,4.39,10.11,0
USR_0385,39,31,63,6,178,39,51,4.56,1.28,0
USR_0386,38,13,68,10,167,38,52,4.39,4.28,0
USR_0387,40,26,67,7,180,40,50,4.5,2.27,0
USR_0388,31,16,47,11,136,31,59,4.39,1.66,0
USR_0389,34,19,60,9,156,34,56,4.59,1.06,0
USR_0390,42,19,71,7,181,42,48,4.31,10.34,0
USR_0391,39,21,63,10,172,39,51,4.41,9.18,0
USR_0392,37,30,52,10,166,37,53,4.49,0.57,0
USR_0393,34,13,53,8,142,34,56,4.18,8.55,0
USR_0394,38,20,67,8,171,38,52,4.5,7.57,0
USR_0395,42,24,70,17,195,42,48,4.64,1.56,0
USR_0396,36,14,62,13,161,36,54,4.47,6.19,0
USR_0397,45,41,64,7,202,45,45,4.49,0.45,0
USR_0398,31,20,52,6,140,31,59,4.52,8.27,0
USR_0399,39,21,62,12,173,39,51,4.44,8.14,0
USR_0400,38,20,64,6,166,38,52,4.37,0.58,0
USR_0401,9,5,20,3,46,9,81,5.11,73.33,1
USR_0402,17,9,38,2,83,17,73,4.88,60.43,1
USR_0403,10,6,21,2,49,10,80,4.9,71.19,1
USR_0404,14,7,25,2,62,14,76,4.43,67.13,1
USR_0405,14,3,29,2,62,14,76,4.43,72.67,1
USR_0406,10,6,18,2,46,10,80,4.6,70.15,1
USR_0407,10,5,18,4,47,10,80,4.7,69.02,1
USR_0408,11,11,17,3,53,11,79,4.82,69.13,1
USR_0409,13,6,26,6,64,13,77,4.92,71.42,1
USR_0410,12,7,19,2,52,12,78,4.33,65.41,1
USR_0411,17,17,28,2,81,17,73,4.76,62.19,1
USR_0412,12,8,22,3,57,12,78,4.75,62.48,1
USR_0413,12,9,14,3,50,12,78,4.17,61.51,1
USR_0414,16,12,21,7,72,16,74,4.5,58.52,1
USR_0415,8,10,12,1,39,8,82,4.88,75.14,1
USR_0416,15,13,29,4,76,15,75,5.07,68.41,1
USR_0417,14,12,18,4,62,14,76,4.43,61.49,1
USR_0418,11,11,12,3,48,11,79,4.36,75.48,1
USR_0419,9,10,17,1,46,9,81,5.11,72.11,1
USR_0420,14,11,22,2,63,14,76,4.5,69.5,1
USR_0421,8,5,12,0,33,8,82,4.12,76.54,1
USR_0422,12,5,20,1,50,12,78,4.17,72.18,1
USR_0423,23,12,40,7,105,23,67,4.57,54.39,1
USR_0424,18,10,28,2,76,18,72,4.22,58.51,1
USR_0425,21,12,39,3,96,21,69,4.57,65.65,1
USR_0426,10,3,16,6,45,10,80,4.5,67.67,1
USR_0427,12,8,25,1,58,12,78,4.83,68.28,1
USR_0428,11,5,18,2,47,11,79,4.27,58.04,1
USR_0429,15,7,31,7,75,15,75,5.0,65.15,1
USR_0430,14,5,27,5,65,14,76,4.64,60.21,1
USR_0431,9,5,15,3,41,9,81,4.56,77.02,1
USR_0432,12,8,18,4,54,12,78,4.5,67.5,1
USR_0433,11,8,17,3,50,11,79,4.55,75.6,1
USR_0434,16,12,37,4,85,16,74,5.31,68.5,1
USR_0435,8,1,16,3,36,8,82,4.5,70.47,1
USR_0436,20,11,37,3,91,20,70,4.55,54.53,1
USR_0437,21,15,34,4,95,21,69,4.52,56.36,1
USR_0438,14,15,26,3,72,14,76,5.14,73.56,1
USR_0439,20,9,33,4,86,20,70,4.3,55.09,1
USR_0440,15,5,23,4,62,15,75,4.13,68.53,1
USR_0441,11,7,20,4,53,11,79,4.82,68.32,1
USR_0442,10,6,18,1,45,10,80,4.5,74.28,1
USR_0443,15,11,18,2,61,15,75,4.07,71.62,1
USR_0444,12,10,12,4,50,12,78,4.17,71.07,1
USR_0445,17,8,26,7,75,17,73,4.41,58.43,1
USR_0446,10,4,16,4,44,10,80,4.4,72.17,1
USR_0447,13,9,18,5,58,13,77,4.46,72.25,1
USR_0448,10,5,16,2,43,10,80,4.3,75.2,1
USR_0449,20,8,30,6,84,20,70,4.2,62.5,1
USR_0450,23,20,34,2,102,23,67,4.43,56.61,1
USR_0451,9,4,11,3,36,9,81,4.0,68.24,1
USR_0452,11,7,16,5,50,11,79,4.55,74.07,1
USR_0453,11,4,21,0,47,11,79,4.27,67.4,1
USR_0454,20,17,31,5,93,20,70,4.65,60.63,1
USR_0455,18,13,41,6,96,18,72,5.33,58.42,1
USR_0456,18,16,22,3,77,18,72,4.28,58.6,1
USR_0457,12,8,19,3,54,12,78,4.5,64.2,1
USR_0458,16,13,22,4,71,16,74,4.44,69.0,1
